-------------------------------------------------------------------------------
Unless stated otherwise, all data in the OATH Dataset is licensed under a
inuv 06/Jan/2016 08:13:45.0,images/scaled_cropped/01117.png
inuv 06/Jan/2016 08:14:18.0,images/scaled_cropped/01118.png
inuv 06/Jan/2016 08:14:33.0,images/scaled_cropped/01119.png
inuv 06/Jan/2016 08:15:12.0,images/scaled_cropped/01120.png
inuv 06/Jan/2016 08:15:51.0,images/scaled_cropped/01121.png
inuv 06/Jan/2016 08:16:30.0,images/scaled_cropped/01122.png
inuv 06/Jan/2016 08:18:24.0,images/scaled_cropped/01123.png
inuv 06/Jan/2016 08:19:18.0,images/scaled_cropped/01124.png
inuv 06/Jan/2016 08:19:42.0,images/scaled_cropped/01125.png
inuv 06/Jan/2016 08:21:30.0,images/scaled_cropped/01126.png
inuv 06/Jan/2016 08:22:57.0,images/scaled_cropped/01127.png
inuv 06/Jan/2016 08:23:00.0,images/scaled_cropped/01128.png
inuv 06/Jan/2016 08:23:48.0,images/scaled_cropped/01129.png
inuv 06/Jan/2016 08:24:45.0,images/scaled_cropped/01130.png
inuv 06/Jan/2016 08:24:48.0,images/scaled_cropped/01131.png
inuv 06/Jan/2016 08:24:51.0,images/scaled_cropped/01132.png
inuv 06/Jan/2016 08:25:30.0,images/scaled_cropped/01133.png
inuv 06/Jan/2016 08:26:00.0,images/scaled_cropped/01134.png
inuv 06/Jan/2016 08:26:45.0,images/scaled_cropped/01135.png
inuv 06/Jan/2016 08:28:39.0,images/scaled_cropped/01136.png
inuv 06/Jan/2016 08:28:51.0,images/scaled_cropped/01137.png
inuv 06/Jan/2016 08:28:54.0,images/scaled_cropped/01138.png
inuv 06/Jan/2016 08:29:24.0,images/scaled_cropped/01139.png
inuv 06/Jan/2016 08:29:33.0,images/scaled_cropped/01140.png
inuv 06/Jan/2016 08:29:51.0,images/scaled_cropped/01141.png
inuv 06/Jan/2016 08:30:09.0,images/scaled_cropped/01142.png
inuv 06/Jan/2016 08:30:42.0,images/scaled_cropped/01143.png
inuv 06/Jan/2016 08:32:42.0,images/scaled_cropped/01144.png
inuv 06/Jan/2016 08:33:30.0,images/scaled_cropped/01145.png
inuv 06/Jan/2016 08:36:06.0,images/scaled_cropped/01146.png
inuv 06/Jan/2016 08:36:18.0,images/scaled_cropped/01147.png
inuv 06/Jan/2016 08:38:36.0,images/scaled_cropped/01148.png
inuv 06/Jan/2016 08:39:00.0,images/scaled_cropped/01149.png
inuv 06/Jan/2016 08:39:51.0,images/scaled_cropped/01150.png
inuv 06/Jan/2016 08:39:57.0,images/scaled_cropped/01151.png
inuv 06/Jan/2016 08:40:09.0,images/scaled_cropped/01152.png
inuv 06/Jan/2016 08:40:27.0,images/scaled_cropped/01153.png
inuv 06/Jan/2016 08:40:42.0,images/scaled_cropped/01154.png
inuv 06/Jan/2016 08:41:39.0,images/scaled_cropped/01155.png
inuv 06/Jan/2016 08:44:45.0,images/scaled_cropped/01156.png
inuv 06/Jan/2016 08:45:06.0,images/scaled_cropped/01157.png
inuv 06/Jan/2016 08:45:42.0,images/scaled_cropped/01158.png
inuv 06/Jan/2016 08:46:24.0,images/scaled_cropped/01159.png
inuv 06/Jan/2016 08:46:36.0,images/scaled_cropped/01160.png
inuv 06/Jan/2016 08:48:48.0,images/scaled_cropped/01161.png
inuv 06/Jan/2016 08:50:54.0,images/scaled_cropped/01162.png
inuv 06/Jan/2016 08:51:15.0,images/scaled_cropped/01163.png
inuv 06/Jan/2016 08:52:03.0,images/scaled_cropped/01164.png
inuv 06/Jan/2016 08:53:03.0,images/scaled_cropped/01165.png
inuv 06/Jan/2016 08:53:15.0,images/scaled_cropped/01166.png
inuv 06/Jan/2016 08:54:57.0,images/scaled_cropped/01167.png
inuv 06/Jan/2016 08:56:24.0,images/scaled_cropped/01168.png
inuv 06/Jan/2016 08:56:36.0,images/scaled_cropped/01169.png
inuv 06/Jan/2016 08:56:39.0,images/scaled_cropped/01170.png
inuv 06/Jan/2016 08:56:57.0,images/scaled_cropped/01171.png
inuv 06/Jan/2016 08:57:30.0,images/scaled_cropped/01172.png
inuv 06/Jan/2016 08:58:06.0,images/scaled_cropped/01173.png
inuv 06/Jan/2016 08:59:51.0,images/scaled_cropped/01174.png
inuv 06/Jan/2016 09:00:42.0,images/scaled_cropped/01175.png
inuv 06/Jan/2016 09:00:57.0,images/scaled_cropped/01176.png
inuv 06/Jan/2016 09:01:09.0,images/scaled_cropped/01177.png
inuv 06/Jan/2016 09:01:12.0,images/scaled_cropped/01178.png
inuv 06/Jan/2016 09:01:33.0,images/scaled_cropped/01179.png
inuv 06/Jan/2016 09:01:48.0,images/scaled_cropped/01180.png
inuv 06/Jan/2016 09:04:15.0,images/scaled_cropped/01181.png
inuv 06/Jan/2016 09:05:18.0,images/scaled_cropped/01182.png
inuv 06/Jan/2016 09:07:54.0,images/scaled_cropped/01183.png
inuv 06/Jan/2016 09:08:09.0,images/scaled_cropped/01184.png
inuv 06/Jan/2016 09:09:51.0,images/scaled_cropped/01185.png
inuv 06/Jan/2016 09:10:03.0,images/scaled_cropped/01186.png
inuv 06/Jan/2016 09:10:33.0,images/scaled_cropped/01187.png
inuv 06/Jan/2016 09:11:15.0,images/scaled_cropped/01188.png
inuv 06/Jan/2016 09:12:09.0,images/scaled_cropped/01189.png
inuv 06/Jan/2016 09:12:48.0,images/scaled_cropped/01190.png
inuv 06/Jan/2016 09:13:06.0,images/scaled_cropped/01191.png
inuv 06/Jan/2016 09:13:18.0,images/scaled_cropped/01192.png
inuv 06/Jan/2016 09:13:36.0,images/scaled_cropped/01193.png
inuv 06/Jan/2016 09:15:57.0,images/scaled_cropped/01194.png
inuv 06/Jan/2016 09:17:15.0,images/scaled_cropped/01195.png
inuv 06/Jan/2016 09:17:18.0,images/scaled_cropped/01196.png
inuv 06/Jan/2016 09:18:54.0,images/scaled_cropped/01197.png
inuv 06/Jan/2016 09:19:09.0,images/scaled_cropped/01198.png
inuv 06/Jan/2016 09:19:18.0,images/scaled_cropped/01199.png
inuv 06/Jan/2016 09:20:00.0,images/scaled_cropped/01200.png
inuv 06/Jan/2016 09:20:48.0,images/scaled_cropped/01201.png
inuv 06/Jan/2016 09:21:30.0,images/scaled_cropped/01202.png
inuv 06/Jan/2016 09:22:03.0,images/scaled_cropped/01203.png
inuv 06/Jan/2016 09:23:03.0,images/scaled_cropped/01204.png
inuv 06/Jan/2016 09:24:00.0,images/scaled_cropped/01205.png
inuv 06/Jan/2016 09:26:12.0,images/scaled_cropped/01206.png
inuv 06/Jan/2016 09:26:15.0,images/scaled_cropped/01207.png
inuv 06/Jan/2016 09:27:36.0,images/scaled_cropped/01208.png
inuv 06/Jan/2016 09:27:39.0,images/scaled_cropped/01209.png
inuv 06/Jan/2016 09:28:54.0,images/scaled_cropped/01210.png
inuv 06/Jan/2016 09:29:15.0,images/scaled_cropped/01211.png
inuv 06/Jan/2016 09:29:30.0,images/scaled_cropped/01212.png
inuv 06/Jan/2016 09:30:33.0,images/scaled_cropped/01213.png
inuv 06/Jan/2016 09:32:36.0,images/scaled_cropped/01214.png
inuv 06/Jan/2016 09:32:39.0,images/scaled_cropped/01215.png
inuv 06/Jan/2016 09:32:45.0,images/scaled_cropped/01216.png
inuv 06/Jan/2016 09:35:57.0,images/scaled_cropped/01217.png
inuv 06/Jan/2016 09:36:33.0,images/scaled_cropped/01218.png
inuv 06/Jan/2016 09:36:45.0,images/scaled_cropped/01219.png
inuv 06/Jan/2016 09:36:48.0,images/scaled_cropped/01220.png
inuv 06/Jan/2016 09:37:06.0,images/scaled_cropped/01221.png
inuv 06/Jan/2016 09:38:09.0,images/scaled_cropped/01222.png
inuv 06/Jan/2016 09:38:45.0,images/scaled_cropped/01223.png
inuv 06/Jan/2016 09:38:57.0,images/scaled_cropped/01224.png
inuv 06/Jan/2016 09:39:12.0,images/scaled_cropped/01225.png
inuv 06/Jan/2016 09:39:18.0,images/scaled_cropped/01226.png
inuv 06/Jan/2016 09:40:15.0,images/scaled_cropped/01227.png
inuv 06/Jan/2016 09:41:24.0,images/scaled_cropped/01228.png
inuv 06/Jan/2016 09:42:03.0,images/scaled_cropped/01229.png
inuv 06/Jan/2016 09:43:00.0,images/scaled_cropped/01230.png
inuv 06/Jan/2016 09:43:24.0,images/scaled_cropped/01231.png
inuv 06/Jan/2016 09:43:48.0,images/scaled_cropped/01232.png
inuv 06/Jan/2016 09:43:51.0,images/scaled_cropped/01233.png
inuv 06/Jan/2016 09:47:00.0,images/scaled_cropped/01234.png
inuv 06/Jan/2016 09:47:12.0,images/scaled_cropped/01235.png
inuv 06/Jan/2016 09:47:18.0,images/scaled_cropped/01236.png
inuv 06/Jan/2016 09:48:12.0,images/scaled_cropped/01237.png
inuv 06/Jan/2016 09:49:12.0,images/scaled_cropped/01238.png
inuv 06/Jan/2016 09:50:00.0,images/scaled_cropped/01239.png
inuv 06/Jan/2016 09:50:12.0,images/scaled_cropped/01240.png
inuv 06/Jan/2016 09:50:42.0,images/scaled_cropped/01241.png
inuv 06/Jan/2016 09:50:54.0,images/scaled_cropped/01242.png
inuv 06/Jan/2016 09:51:09.0,images/scaled_cropped/01243.png
inuv 06/Jan/2016 09:51:24.0,images/scaled_cropped/01244.png
inuv 06/Jan/2016 09:51:54.0,images/scaled_cropped/01245.png
inuv 06/Jan/2016 09:52:06.0,images/scaled_cropped/01246.png
inuv 06/Jan/2016 09:52:21.0,images/scaled_cropped/01247.png
inuv 06/Jan/2016 09:54:24.0,images/scaled_cropped/01248.png
inuv 06/Jan/2016 09:56:48.0,images/scaled_cropped/01249.png
inuv 06/Jan/2016 09:57:42.0,images/scaled_cropped/01250.png
inuv 06/Jan/2016 09:57:45.0,images/scaled_cropped/01251.png
inuv 06/Jan/2016 09:57:57.0,images/scaled_cropped/01252.png
inuv 06/Jan/2016 09:58:12.0,images/scaled_cropped/01253.png
inuv 06/Jan/2016 09:58:42.0,images/scaled_cropped/01254.png
inuv 06/Jan/2016 09:59:09.0,images/scaled_cropped/01255.png
kian 04/Dec/2006 10:01:00.0,images/scaled_cropped/01256.png
kian 04/Dec/2006 10:05:57.0,images/scaled_cropped/01257.png
kian 04/Dec/2006 10:06:30.0,images/scaled_cropped/01258.png
kian 04/Dec/2006 10:09:15.0,images/scaled_cropped/01259.png
kian 04/Dec/2006 10:12:09.0,images/scaled_cropped/01260.png
kian 04/Dec/2006 10:12:27.0,images/scaled_cropped/01261.png
kian 04/Dec/2006 10:13:45.0,images/scaled_cropped/01262.png
kian 04/Dec/2006 10:14:18.0,images/scaled_cropped/01263.png
kian 04/Dec/2006 10:15:12.0,images/scaled_cropped/01264.png
kian 04/Dec/2006 10:19:42.0,images/scaled_cropped/01265.png
kian 04/Dec/2006 10:23:48.0,images/scaled_cropped/01266.png
kian 04/Dec/2006 10:24:48.0,images/scaled_cropped/01267.png
kian 04/Dec/2006 10:25:30.0,images/scaled_cropped/01268.png
kian 04/Dec/2006 10:26:00.0,images/scaled_cropped/01269.png
kian 04/Dec/2006 10:26:45.0,images/scaled_cropped/01270.png
kian 04/Dec/2006 10:32:42.0,images/scaled_cropped/01271.png
kian 04/Dec/2006 10:33:30.0,images/scaled_cropped/01272.png
kian 04/Dec/2006 10:36:06.0,images/scaled_cropped/01273.png
kian 04/Dec/2006 10:36:18.0,images/scaled_cropped/01274.png
kian 04/Dec/2006 10:39:57.0,images/scaled_cropped/01275.png
kian 04/Dec/2006 10:40:09.0,images/scaled_cropped/01276.png
kian 04/Dec/2006 10:40:42.0,images/scaled_cropped/01277.png
kian 04/Dec/2006 10:45:42.0,images/scaled_cropped/01278.png
kian 04/Dec/2006 10:46:24.0,images/scaled_cropped/01279.png
kian 04/Dec/2006 10:53:03.0,images/scaled_cropped/01280.png
kian 04/Dec/2006 10:53:15.0,images/scaled_cropped/01281.png
kian 04/Dec/2006 10:56:24.0,images/scaled_cropped/01282.png
kian 04/Dec/2006 10:58:06.0,images/scaled_cropped/01283.png
kian 04/Dec/2006 11:00:42.0,images/scaled_cropped/01284.png
kian 04/Dec/2006 11:01:09.0,images/scaled_cropped/01285.png
kian 04/Dec/2006 11:04:15.0,images/scaled_cropped/01286.png
kian 04/Dec/2006 11:07:54.0,images/scaled_cropped/01287.png
kian 04/Dec/2006 11:10:33.0,images/scaled_cropped/01288.png
kian 04/Dec/2006 11:12:09.0,images/scaled_cropped/01289.png
kian 04/Dec/2006 11:15:57.0,images/scaled_cropped/01290.png
kian 04/Dec/2006 11:17:18.0,images/scaled_cropped/01291.png
kian 04/Dec/2006 11:19:09.0,images/scaled_cropped/01292.png
kian 04/Dec/2006 11:20:48.0,images/scaled_cropped/01293.png
kian 04/Dec/2006 11:23:03.0,images/scaled_cropped/01294.png
kian 04/Dec/2006 11:26:15.0,images/scaled_cropped/01295.png
kian 04/Dec/2006 11:27:36.0,images/scaled_cropped/01296.png
kian 04/Dec/2006 11:27:39.0,images/scaled_cropped/01297.png
kian 04/Dec/2006 11:29:30.0,images/scaled_cropped/01298.png
kian 04/Dec/2006 11:30:33.0,images/scaled_cropped/01299.png
kian 04/Dec/2006 11:32:45.0,images/scaled_cropped/01300.png
kian 04/Dec/2006 11:35:57.0,images/scaled_cropped/01301.png
kian 04/Dec/2006 11:36:48.0,images/scaled_cropped/01302.png
kian 04/Dec/2006 11:37:06.0,images/scaled_cropped/01303.png
kian 04/Dec/2006 11:38:45.0,images/scaled_cropped/01304.png
kian 04/Dec/2006 11:38:57.0,images/scaled_cropped/01305.png
kian 04/Dec/2006 11:39:18.0,images/scaled_cropped/01306.png
kian 04/Dec/2006 11:41:24.0,images/scaled_cropped/01307.png
kian 04/Dec/2006 11:47:12.0,images/scaled_cropped/01308.png
kian 04/Dec/2006 11:51:09.0,images/scaled_cropped/01309.png
kian 04/Dec/2006 11:51:24.0,images/scaled_cropped/01310.png
kian 04/Dec/2006 11:52:21.0,images/scaled_cropped/01311.png
kian 04/Dec/2006 11:57:45.0,images/scaled_cropped/01312.png
kian 04/Dec/2006 11:58:12.0,images/scaled_cropped/01313.png
fykn 08/Nov/2011 12:01:00.0,images/scaled_cropped/01314.png
fykn 08/Nov/2011 12:05:57.0,images/scaled_cropped/01315.png
fykn 08/Nov/2011 12:06:30.0,images/scaled_cropped/01316.png
fykn 08/Nov/2011 12:09:15.0,images/scaled_cropped/01317.png
fykn 08/Nov/2011 12:12:09.0,images/scaled_cropped/01318.png
fykn 08/Nov/2011 12:12:27.0,images/scaled_cropped/01319.png
fykn 08/Nov/2011 12:13:45.0,images/scaled_cropped/01320.png
fykn 08/Nov/2011 12:14:18.0,images/scaled_cropped/01321.png
fykn 08/Nov/2011 12:15:12.0,images/scaled_cropped/01322.png
fykn 08/Nov/2011 12:19:42.0,images/scaled_cropped/01323.png
fykn 08/Nov/2011 12:23:48.0,images/scaled_cropped/01324.png
fykn 08/Nov/2011 12:24:48.0,images/scaled_cropped/01325.png
fykn 08/Nov/2011 12:25:30.0,images/scaled_cropped/01326.png
fykn 08/Nov/2011 12:26:00.0,images/scaled_cropped/01327.png
fykn 08/Nov/2011 12:26:45.0,images/scaled_cropped/01328.png
fykn 08/Nov/2011 12:32:42.0,images/scaled_cropped/01329.png
fykn 08/Nov/2011 12:33:30.0,images/scaled_cropped/01330.png
fykn 08/Nov/2011 12:36:06.0,images/scaled_cropped/01331.png
fykn 08/Nov/2011 12:36:18.0,images/scaled_cropped/01332.png
fykn 08/Nov/2011 12:39:57.0,images/scaled_cropped/01333.png
fykn 08/Nov/2011 12:40:09.0,images/scaled_cropped/01334.png
fykn 08/Nov/2011 12:40:42.0,images/scaled_cropped/01335.png
fykn 08/Nov/2011 12:45:42.0,images/scaled_cropped/01336.png
fykn 08/Nov/2011 12:46:27.0,images/scaled_cropped/01337.png
fykn 08/Nov/2011 12:53:06.0,images/scaled_cropped/01338.png
fykn 08/Nov/2011 12:53:18.0,images/scaled_cropped/01339.png
fykn 08/Nov/2011 12:56:27.0,images/scaled_cropped/01340.png
fykn 08/Nov/2011 12:58:09.0,images/scaled_cropped/01341.png
gako 23/Nov/2006 04:01:00.0,images/scaled_cropped/01342.png
gako 23/Nov/2006 04:05:57.0,images/scaled_cropped/01343.png
gako 23/Nov/2006 04:06:30.0,images/scaled_cropped/01344.png
gako 23/Nov/2006 04:09:15.0,images/scaled_cropped/01345.png
gako 23/Nov/2006 04:12:09.0,images/scaled_cropped/01346.png
gako 23/Nov/2006 04:12:27.0,images/scaled_cropped/01347.png
gako 23/Nov/2006 04:13:45.0,images/scaled_cropped/01348.png
gako 23/Nov/2006 04:14:18.0,images/scaled_cropped/01349.png
gako 23/Nov/2006 04:15:12.0,images/scaled_cropped/01350.png
gako 23/Nov/2006 04:19:42.0,images/scaled_cropped/01351.png
gako 23/Nov/2006 04:23:48.0,images/scaled_cropped/01352.png
gako 23/Nov/2006 04:24:48.0,images/scaled_cropped/01353.png
gako 23/Nov/2006 04:25:30.0,images/scaled_cropped/01354.png
gako 23/Nov/2006 04:26:00.0,images/scaled_cropped/01355.png
gako 23/Nov/2006 04:26:45.0,images/scaled_cropped/01356.png
gako 23/Nov/2006 04:32:42.0,images/scaled_cropped/01357.png
gako 23/Nov/2006 04:33:30.0,images/scaled_cropped/01358.png
gako 23/Nov/2006 04:36:06.0,images/scaled_cropped/01359.png
gako 23/Nov/2006 04:36:18.0,images/scaled_cropped/01360.png
gako 23/Nov/2006 04:39:57.0,images/scaled_cropped/01361.png
gako 23/Nov/2006 04:40:09.0,images/scaled_cropped/01362.png
gako 23/Nov/2006 04:40:42.0,images/scaled_cropped/01363.png
gako 23/Nov/2006 04:45:42.0,images/scaled_cropped/01364.png
gako 23/Nov/2006 04:46:24.0,images/scaled_cropped/01365.png
gako 23/Nov/2006 04:53:03.0,images/scaled_cropped/01366.png
gako 23/Nov/2006 04:53:15.0,images/scaled_cropped/01367.png
gako 23/Nov/2006 04:56:24.0,images/scaled_cropped/01368.png
gako 23/Nov/2006 04:58:06.0,images/scaled_cropped/01369.png
inuv 19/Nov/2006 07:01:15.0,images/scaled_cropped/01370.png
inuv 19/Nov/2006 07:02:09.0,images/scaled_cropped/01371.png
inuv 19/Nov/2006 07:02:21.0,images/scaled_cropped/01372.png
inuv 19/Nov/2006 07:07:06.0,images/scaled_cropped/01373.png
inuv 19/Nov/2006 07:07:39.0,images/scaled_cropped/01374.png
inuv 19/Nov/2006 07:10:15.0,images/scaled_cropped/01375.png
inuv 19/Nov/2006 07:10:24.0,images/scaled_cropped/01376.png
inuv 19/Nov/2006 07:13:03.0,images/scaled_cropped/01377.png
inuv 19/Nov/2006 07:13:12.0,images/scaled_cropped/01378.png
inuv 19/Nov/2006 07:13:18.0,images/scaled_cropped/01379.png
inuv 19/Nov/2006 07:13:30.0,images/scaled_cropped/01380.png
inuv 19/Nov/2006 07:13:36.0,images/scaled_cropped/01381.png
inuv 19/Nov/2006 07:14:42.0,images/scaled_cropped/01382.png
inuv 19/Nov/2006 07:14:54.0,images/scaled_cropped/01383.png
inuv 19/Nov/2006 07:15:27.0,images/scaled_cropped/01384.png
inuv 19/Nov/2006 07:15:42.0,images/scaled_cropped/01385.png
inuv 19/Nov/2006 07:16:21.0,images/scaled_cropped/01386.png
inuv 19/Nov/2006 07:17:00.0,images/scaled_cropped/01387.png
inuv 19/Nov/2006 07:17:39.0,images/scaled_cropped/01388.png
inuv 19/Nov/2006 07:19:33.0,images/scaled_cropped/01389.png
inuv 19/Nov/2006 07:20:27.0,images/scaled_cropped/01390.png
inuv 19/Nov/2006 07:20:51.0,images/scaled_cropped/01391.png
inuv 19/Nov/2006 07:22:39.0,images/scaled_cropped/01392.png
inuv 19/Nov/2006 07:24:06.0,images/scaled_cropped/01393.png
inuv 19/Nov/2006 07:24:09.0,images/scaled_cropped/01394.png
inuv 19/Nov/2006 07:24:57.0,images/scaled_cropped/01395.png
inuv 19/Nov/2006 07:27:00.0,images/scaled_cropped/01396.png
inuv 19/Nov/2006 07:27:03.0,images/scaled_cropped/01397.png
inuv 19/Nov/2006 07:27:06.0,images/scaled_cropped/01398.png
inuv 19/Nov/2006 07:27:45.0,images/scaled_cropped/01399.png
inuv 19/Nov/2006 07:28:15.0,images/scaled_cropped/01400.png
inuv 19/Nov/2006 07:29:00.0,images/scaled_cropped/01401.png
inuv 19/Nov/2006 07:30:54.0,images/scaled_cropped/01402.png
inuv 19/Nov/2006 07:31:06.0,images/scaled_cropped/01403.png
inuv 19/Nov/2006 07:31:09.0,images/scaled_cropped/01404.png
inuv 19/Nov/2006 07:31:39.0,images/scaled_cropped/01405.png
inuv 19/Nov/2006 07:31:48.0,images/scaled_cropped/01406.png
inuv 19/Nov/2006 07:32:06.0,images/scaled_cropped/01407.png
inuv 19/Nov/2006 07:32:24.0,images/scaled_cropped/01408.png
inuv 19/Nov/2006 07:32:57.0,images/scaled_cropped/01409.png
inuv 19/Nov/2006 07:34:57.0,images/scaled_cropped/01410.png
inuv 19/Nov/2006 07:35:45.0,images/scaled_cropped/01411.png
inuv 19/Nov/2006 07:38:21.0,images/scaled_cropped/01412.png
inuv 19/Nov/2006 07:38:33.0,images/scaled_cropped/01413.png
inuv 19/Nov/2006 07:42:03.0,images/scaled_cropped/01414.png
inuv 19/Nov/2006 07:42:27.0,images/scaled_cropped/01415.png
inuv 19/Nov/2006 07:43:18.0,images/scaled_cropped/01416.png
inuv 19/Nov/2006 07:43:24.0,images/scaled_cropped/01417.png
inuv 19/Nov/2006 07:43:36.0,images/scaled_cropped/01418.png
inuv 19/Nov/2006 07:43:54.0,images/scaled_cropped/01419.png
inuv 19/Nov/2006 07:44:09.0,images/scaled_cropped/01420.png
inuv 19/Nov/2006 07:45:06.0,images/scaled_cropped/01421.png
inuv 19/Nov/2006 07:48:12.0,images/scaled_cropped/01422.png
inuv 19/Nov/2006 07:48:33.0,images/scaled_cropped/01423.png
inuv 19/Nov/2006 07:49:09.0,images/scaled_cropped/01424.png
inuv 19/Nov/2006 07:49:51.0,images/scaled_cropped/01425.png
inuv 19/Nov/2006 07:50:03.0,images/scaled_cropped/01426.png
inuv 19/Nov/2006 07:53:18.0,images/scaled_cropped/01427.png
inuv 19/Nov/2006 07:55:24.0,images/scaled_cropped/01428.png
inuv 19/Nov/2006 07:55:45.0,images/scaled_cropped/01429.png
inuv 19/Nov/2006 07:56:33.0,images/scaled_cropped/01430.png
inuv 19/Nov/2006 07:57:33.0,images/scaled_cropped/01431.png
inuv 19/Nov/2006 07:57:45.0,images/scaled_cropped/01432.png
inuv 19/Nov/2006 07:59:27.0,images/scaled_cropped/01433.png
inuv 19/Nov/2006 08:02:06.0,images/scaled_cropped/01434.png
inuv 19/Nov/2006 08:02:18.0,images/scaled_cropped/01435.png
inuv 19/Nov/2006 08:02:21.0,images/scaled_cropped/01436.png
inuv 19/Nov/2006 08:02:39.0,images/scaled_cropped/01437.png
inuv 19/Nov/2006 08:03:12.0,images/scaled_cropped/01438.png
inuv 19/Nov/2006 08:03:48.0,images/scaled_cropped/01439.png
inuv 19/Nov/2006 08:06:45.0,images/scaled_cropped/01440.png
inuv 19/Nov/2006 08:07:36.0,images/scaled_cropped/01441.png
inuv 19/Nov/2006 08:07:51.0,images/scaled_cropped/01442.png
inuv 19/Nov/2006 08:08:03.0,images/scaled_cropped/01443.png
inuv 19/Nov/2006 08:08:06.0,images/scaled_cropped/01444.png
inuv 19/Nov/2006 08:08:27.0,images/scaled_cropped/01445.png
inuv 19/Nov/2006 08:08:42.0,images/scaled_cropped/01446.png
inuv 19/Nov/2006 08:12:18.0,images/scaled_cropped/01447.png
inuv 19/Nov/2006 08:13:21.0,images/scaled_cropped/01448.png
inuv 19/Nov/2006 08:15:57.0,images/scaled_cropped/01449.png
inuv 19/Nov/2006 08:16:12.0,images/scaled_cropped/01450.png
inuv 19/Nov/2006 08:17:54.0,images/scaled_cropped/01451.png
inuv 19/Nov/2006 08:18:06.0,images/scaled_cropped/01452.png
inuv 19/Nov/2006 08:18:36.0,images/scaled_cropped/01453.png
inuv 19/Nov/2006 08:19:18.0,images/scaled_cropped/01454.png
inuv 19/Nov/2006 08:20:12.0,images/scaled_cropped/01455.png
inuv 19/Nov/2006 08:20:51.0,images/scaled_cropped/01456.png
inuv 19/Nov/2006 08:21:09.0,images/scaled_cropped/01457.png
inuv 19/Nov/2006 08:21:21.0,images/scaled_cropped/01458.png
inuv 19/Nov/2006 08:21:39.0,images/scaled_cropped/01459.png
inuv 19/Nov/2006 08:24:00.0,images/scaled_cropped/01460.png
inuv 19/Nov/2006 08:26:27.0,images/scaled_cropped/01461.png
inuv 19/Nov/2006 08:26:30.0,images/scaled_cropped/01462.png
inuv 19/Nov/2006 08:28:06.0,images/scaled_cropped/01463.png
inuv 19/Nov/2006 08:28:21.0,images/scaled_cropped/01464.png
inuv 19/Nov/2006 08:28:30.0,images/scaled_cropped/01465.png
inuv 19/Nov/2006 08:29:12.0,images/scaled_cropped/01466.png
inuv 19/Nov/2006 08:30:00.0,images/scaled_cropped/01467.png
inuv 19/Nov/2006 08:30:42.0,images/scaled_cropped/01468.png
inuv 19/Nov/2006 08:31:15.0,images/scaled_cropped/01469.png
inuv 19/Nov/2006 08:32:15.0,images/scaled_cropped/01470.png
inuv 19/Nov/2006 08:33:12.0,images/scaled_cropped/01471.png
inuv 19/Nov/2006 08:35:24.0,images/scaled_cropped/01472.png
inuv 19/Nov/2006 08:35:27.0,images/scaled_cropped/01473.png
inuv 19/Nov/2006 08:36:48.0,images/scaled_cropped/01474.png
inuv 19/Nov/2006 08:36:51.0,images/scaled_cropped/01475.png
inuv 19/Nov/2006 08:38:06.0,images/scaled_cropped/01476.png
inuv 19/Nov/2006 08:38:27.0,images/scaled_cropped/01477.png
inuv 19/Nov/2006 08:38:42.0,images/scaled_cropped/01478.png
inuv 19/Nov/2006 08:39:45.0,images/scaled_cropped/01479.png
inuv 19/Nov/2006 08:41:48.0,images/scaled_cropped/01480.png
inuv 19/Nov/2006 08:41:51.0,images/scaled_cropped/01481.png
inuv 19/Nov/2006 08:41:57.0,images/scaled_cropped/01482.png
inuv 19/Nov/2006 08:45:09.0,images/scaled_cropped/01483.png
inuv 19/Nov/2006 08:45:45.0,images/scaled_cropped/01484.png
inuv 19/Nov/2006 08:45:57.0,images/scaled_cropped/01485.png
inuv 19/Nov/2006 08:46:00.0,images/scaled_cropped/01486.png
inuv 19/Nov/2006 08:46:18.0,images/scaled_cropped/01487.png
inuv 19/Nov/2006 08:47:21.0,images/scaled_cropped/01488.png
inuv 19/Nov/2006 08:47:57.0,images/scaled_cropped/01489.png
inuv 19/Nov/2006 08:48:09.0,images/scaled_cropped/01490.png
inuv 19/Nov/2006 08:48:24.0,images/scaled_cropped/01491.png
inuv 19/Nov/2006 08:48:30.0,images/scaled_cropped/01492.png
inuv 19/Nov/2006 08:49:27.0,images/scaled_cropped/01493.png
inuv 19/Nov/2006 08:50:36.0,images/scaled_cropped/01494.png
inuv 19/Nov/2006 08:51:15.0,images/scaled_cropped/01495.png
inuv 19/Nov/2006 08:52:12.0,images/scaled_cropped/01496.png
inuv 19/Nov/2006 08:52:36.0,images/scaled_cropped/01497.png
inuv 19/Nov/2006 08:53:00.0,images/scaled_cropped/01498.png
inuv 19/Nov/2006 08:53:03.0,images/scaled_cropped/01499.png
inuv 19/Nov/2006 08:57:24.0,images/scaled_cropped/01500.png
inuv 19/Nov/2006 08:57:36.0,images/scaled_cropped/01501.png
inuv 19/Nov/2006 08:57:42.0,images/scaled_cropped/01502.png
inuv 19/Nov/2006 08:58:36.0,images/scaled_cropped/01503.png
inuv 19/Nov/2006 08:59:36.0,images/scaled_cropped/01504.png
inuv 19/Nov/2006 09:01:30.0,images/scaled_cropped/01505.png
inuv 19/Nov/2006 09:01:42.0,images/scaled_cropped/01506.png
